index,X,Y,Z,t
1,0.0183344856,-0.0332181342,0.8422094,146858233645
2,0.0184014384,-0.0320581,0.8351125,146858233645
3,0.018522881,-0.0289210714,0.8183929,146858233645
4,0.01851086,-0.0248207413,0.807811439,146858233645
5,0.0182774272,-0.0157025456,0.800460458,146858233645
6,0.01793193,-0.00746955,0.7988066,146858233645
7,0.0176936537,-0.0023585856,0.798814,146858233645
8,0.0173176862,0.00625591632,0.795362055,146858233645
9,0.0172044542,0.009354268,0.7913922,146858233645
10,0.01692753,0.0155567862,0.7904202,146858233645
11,0.0167126376,0.0195790231,0.791249454,146858233645
12,0.0136052174,0.09059948,0.79224056,146858233645
13,0.0142838461,0.07683215,0.783265769,146858233645
14,0.0147458622,0.0675406456,0.7767666,146858233645
15,0.0156048443,0.0437896252,0.787459135,146858233645
16,0.015996391,0.0349134952,0.787764251,146858233645
17,0.013040279,0.103127077,0.792864144,146858233645
18,0.0153590227,0.0535944067,0.7735834,146858233645
19,0.0151958112,0.0578489564,0.7729366,146858233645
20,0.0162379742,0.0297686532,0.7864785,146858233645
21,0.0155618293,0.04659364,0.7816123,146858233645
22,0.0154716559,0.05019408,0.7753348,146858233645
23,0.0163983237,0.0255150422,0.7868993,146858233645
24,0.0155520774,0.0456072725,0.7857325,146858233645
25,0.0133288521,0.095936954,0.7938337,146858233645
26,0.0145591469,0.07123486,0.779401958,146858233645
27,0.01497253,0.06287052,0.7741366,146858233645
28,0.0127213374,0.112670183,0.7919658,146858233645
29,0.0115699489,0.140618414,0.7928485,146858233645
30,0.0101882,0.170189083,0.804415762,146858233645
31,0.010875335,0.1558754,0.7965252,146858233645
32,0.0155394049,0.0478498936,0.7782117,146858233645
33,0.0157633461,0.040326044,0.7880875,146858233645
34,0.01747611,0.0020578,0.798282,146858233645
35,0.0184645373,-0.0302593783,0.8259617,146858233645
36,0.01383751,0.08594954,0.7893649,146858233645
37,-0.06235953,0.0607022531,0.874912739,146858233645
38,-0.0581741072,0.0401699841,0.8724658,146858233645
39,-0.02893801,-0.0114937015,0.850222766,146858233645
40,-0.02033154,-0.01756696,0.840307951,146858233645
41,-0.0215737,-0.0177202374,0.8487991,146858233645
42,-0.0303737931,-0.0110173039,0.8599705,146858233645
43,-0.0120385578,-0.0130661912,0.815247655,146858233645
44,-0.0163216963,-0.0161154047,0.8257648,146858233645
45,-0.03572504,-0.00433976,0.8512878,146858233645
46,-0.00745012332,-0.007139921,0.809309661,146858233645
47,-0.0209745765,-0.0010850355,0.8179916,146858233645
48,-0.0277066827,-0.00405685045,0.828000069,146858233645
49,-0.0374087766,-0.003441481,0.8615513,146858233645
50,-0.0154747469,0.00256587565,0.8122679,146858233645
51,-0.03512145,0.0102970358,0.825689,146858233645
52,-0.0270728916,0.0109990686,0.816079,146858233645
53,-0.0472355,0.0125114284,0.851896,146858233645
54,-0.0231723972,0.03922294,0.8018312,146858233645
55,-0.0164813139,0.0347095057,0.8009752,146858233645
56,-0.0210810825,0.0230826456,0.8062698,146858233645
57,-0.0280879363,0.0245697163,0.810185134,146858233645
58,-0.04875492,0.0134328837,0.863332152,146858233645
59,-0.005389304,-0.00348105654,0.806960642,146858233645
60,-0.0207769386,0.0122337565,0.811183631,146858233645
61,-0.00377867837,0.000294521451,0.804680169,146858233645
62,-0.0132198306,0.00492055062,0.8098884,146858233645
63,-0.00139993522,0.0115082674,0.7979101,146858233645
64,-0.0114890067,0.007710317,0.8075084,146858233645
65,-0.05811696,0.0664028153,0.8407988,146858233645
66,-0.05600172,0.03140775,0.8686358,146858233645
67,-0.007696123,0.0154211763,0.803357,146858233645
68,-0.0153765241,0.0147399968,0.807874739,146858233645
69,-0.0180353932,0.0133292628,0.809392154,146858233645
70,-0.0183542,0.0225245375,0.8049163,146858233645
71,-4.478637e-05,0.0155183747,0.7965163,146858233645
72,-0.0113950344,0.0178340171,0.8051983,146858233645
73,-0.0157421529,0.02201506,0.803835332,146858233645
74,-0.0132130189,0.0733373,0.8057543,146858233645
75,-0.0128197083,0.06884644,0.8035442,146858233645
