index,X,Y,Z,t
1,-0.004642148,-0.0433534831,0.838699,146858226345
2,-0.00467437133,-0.04247648,0.8316439,146858226345
3,-0.00483316649,-0.0402267165,0.8149636,146858226345
4,-0.005069389,-0.03696922,0.8042883,146858226345
5,-0.00567608234,-0.0284080356,0.7964026,146858226345
6,-0.0063980855,-0.0201534852,0.7944099,146858226345
7,-0.0068756626,-0.0155296242,0.7943422,146858226345
8,-0.00772250537,-0.008426382,0.7895315,146858226345
9,-0.008022528,-0.00676449668,0.7856887,146858226345
10,-0.008602821,-0.0006913813,0.784062564,146858226345
11,-0.0090556,0.00341108721,0.78447485,146858226345
12,-0.0145550016,0.0788446,0.78197515,146858226345
13,-0.013614485,0.063131094,0.7732069,146858226345
14,-0.0130478162,0.0537435,0.76732,146858226345
15,-0.0113643222,0.03021295,0.7790724,146858226345
16,-0.0106963059,0.020526709,0.7798927,146858226345
17,-0.0159256142,0.102075808,0.7839976,146858226345
18,-0.0121363755,0.04019577,0.764686,146858226345
19,-0.0124482252,0.0440717041,0.7639507,146858226345
20,-0.0103261909,0.01501249,0.778886557,146858226345
21,-0.0115701277,0.03334222,0.77282846,146858226345
22,-0.0119129783,0.0368988551,0.76650846,146858226345
23,-0.0100914771,0.0110283783,0.779376447,146858226345
24,-0.0114851873,0.03228108,0.7769607,146858226345
25,-0.0150216557,0.08710043,0.7841227,146858226345
26,-0.0132656274,0.0574582145,0.769721,146858226345
27,-0.0127637023,0.0490767024,0.7649553,146858226345
28,-0.01670352,0.109776184,0.78057915,146858226345
29,-0.0183715355,0.132809311,0.7806846,146858226345
30,-0.0199324787,0.158180743,0.78998816,146858226345
31,-0.01915947,0.145358056,0.783389568,146858226345
32,-0.011708471,0.034617316,0.769419134,146858226345
33,-0.011071655,0.0263429545,0.779876232,146858226345
34,-0.007341887,-0.0116817644,0.7925083,146858226345
35,-0.004726794,-0.04170696,0.8224627,146858226345
36,-0.0142115932,0.07290982,0.779158056,146858226345
37,-0.0877976,0.0502379574,0.867545843,146858226345
38,-0.08298764,0.0293697827,0.8660174,146858226345
39,-0.052727133,-0.0229420438,0.846621752,146858226345
40,-0.0437149629,-0.0298159271,0.83717984,146858226345
41,-0.0449303165,-0.0289455168,0.8453003,146858226345
42,-0.0542030968,-0.0216784738,0.8560901,146858226345
43,-0.0350854248,-0.02710576,0.811715364,146858226345
44,-0.0392998,-0.0293465,0.8229109,146858226345
45,-0.059851557,-0.0161173344,0.8477354,146858226345
46,-0.0308223031,-0.0213661566,0.8046983,146858226345
47,-0.0445420779,-0.01735887,0.81384027,146858226345
48,-0.05102545,-0.0187269486,0.825097263,146858226345
49,-0.06143267,-0.0143625336,0.8575827,146858226345
50,-0.03918867,-0.0135220354,0.807461262,146858226345
51,-0.0594520047,-0.00669563841,0.822650969,146858226345
52,-0.05129113,-0.007901753,0.8122224,146858226345
53,-0.0714204758,-0.000162114389,0.8480806,146858226345
54,-0.05069361,0.0206869617,0.79600364,146858226345
55,-0.04357233,0.0157839786,0.794332,146858226345
56,-0.04627574,0.002887725,0.801140666,146858226345
57,-0.0536027662,0.00498320255,0.8057134,146858226345
58,-0.0730028749,0.0019750474,0.8588523,146858226345
59,-0.0291481428,-0.0176523775,0.802579343,146858226345
60,-0.0447035581,-0.00640010741,0.80674994,146858226345
61,-0.0282518,-0.0143537885,0.800094247,146858226345
62,-0.0370695554,-0.0110423332,0.8055363,146858226345
63,-0.0267400872,-0.0045705745,0.7918896,146858226345
64,-0.036031574,-0.0087326495,0.8029546,146858226345
65,-0.08441968,0.0531175174,0.833311737,146858226345
66,-0.08064171,0.0203120969,0.862742,146858226345
